bin_count,lower,upper,upper_inclusive,n,mean_p_ham,observed_ham_fraction
5,0.0,0.2,False,7245,0.04651207729468599,0.0011042097998619738
5,0.2,0.4,False,734,0.2841689373297003,0.013623978201634877
5,0.4,0.6,False,457,0.4888840262582057,0.08096280087527352
5,0.6,0.8,False,420,0.6954761904761906,0.3238095238095238
5,0.8,1.0,True,8613,0.9551027516544757,0.9807268083130152
10,0.0,0.1,False,6417,0.03509272245597631,0.0006233442418575658
10,0.1,0.2,False,828,0.135012077294686,0.004830917874396135
10,0.2,0.3,False,440,0.2416818181818182,0.011363636363636364
10,0.3,0.4,False,294,0.34775510204081633,0.017006802721088437
10,0.4,0.5,False,245,0.44379591836734694,0.0653061224489796
10,0.5,0.6,False,212,0.5409905660377359,0.09905660377358491
10,0.6,0.7,False,206,0.641359223300971,0.2524271844660194
10,0.7,0.8,False,214,0.7475700934579439,0.3925233644859813
10,0.8,0.9,False,507,0.8558974358974359,0.7633136094674556
10,0.9,1.0,True,8106,0.9613076733283987,0.994325191216383
