context_len,log2_bucket,n,failure_n,failure_rate,wilson95_low,wilson95_high
1024,10,15,2,0.13333333333333333,0.03736125910306537,0.37881982832322364
2048,11,15,4,0.26666666666666666,0.10897453325692374,0.51950434055980566
4096,12,15,3,0.20000000000000001,0.070475493469815631,0.45185448715169363
8192,13,15,1,0.066666666666666666,0.011866895493268553,0.29816529873780029
16384,14,16,2,0.125,0.034977487743240471,0.36022827265758695
32768,15,15,4,0.26666666666666666,0.10897453325692374,0.51950434055980566
65536,16,16,2,0.125,0.034977487743240471,0.36022827265758695
131072,17,15,3,0.20000000000000001,0.070475493469815631,0.45185448715169363
262144,18,15,4,0.26666666666666666,0.10897453325692374,0.51950434055980566
524288,19,16,3,0.1875,0.065915990714281419,0.43008880961974139
1048576,20,16,3,0.1875,0.065915990714281419,0.43008880961974139
2097152,21,15,4,0.26666666666666666,0.10897453325692374,0.51950434055980566
4194304,22,15,5,0.33333333333333331,0.15176324439714731,0.58286452261480226
